return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2014-09-15T13:36:44+00:00	102-1677484-6513859	TGT-U-988-OXOGOODSCALE	B0020L6T7K	X000N82HUL	OXO Good Grips 5-Pound Food Scale with Pull-Out Display, Black	1	LEX2	CUSTOMER_DAMAGED	DAMAGED_BY_FC	Unit returned to inventory
2014-09-12T11:55:58+00:00	103-8932711-4299460	TGT-082*14-248-PRINCESSDIVEWANDS	B0036FTLY2	X000N94TJ7	Glitter Dive Wands - Set of 3	1	LEX2	CARRIER_DAMAGED	DAMAGED_BY_FC	Reimbursed
2014-09-10T04:13:55+00:00	102-8634676-5153038	JCP-50914-1499-OXO.COCKTAIL.SHAKER	B007WTI7VQ	X000MMHJ97	OXO Good Grips Press & Pour Cocktail Shaker	1	LAS2	DAMAGED	DEFECTIVE	Reimbursed
2014-09-08T14:44:08+00:00	113-5084276-2185058	KM-072514-1100-BALLY.BELT.ZIPPERS	B000F4J8T0	X000MQLVGF	Bally Slimmer Belt with Zippers	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-09-04T22:40:00+00:00	110-7478882-7369058	KM-072914-1300-BALLY.PILATES.ROW	B005MAGX9U	X000MRPHQJ	Bally total Fitness BY7653BL Rowing Action Exerciser (Discontinued by Manufacturer)	1	LEX2	SELLABLE	DEFECTIVE	Unit returned to inventory
2014-09-04T22:40:00+00:00	110-7478882-7369058	KM-072914-1300-BALLY.PILATES.ROW	B005MAGX9U	X000MRPHQJ	Bally total Fitness BY7653BL Rowing Action Exerciser (Discontinued by Manufacturer)	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-09-02T18:17:35+00:00	109-5847012-3577063	TGT-3/14-1499-LIL.MERMAID.FLEECE.THROW	B00BVJL3OQ	B00BVJL3OQ	Disney Princess Ariel Little Mermaid Princess of the Waves Micro Raschel Throw Blanket 46" X 60"	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
2014-08-27T16:06:27+00:00	107-8382172-6199459	TGT-080714-999-LIVEPETS.BIRD.BLUE	B00ITTMXXQ	X000MY1VUN	Little Live Pets Bird #5 Cool Cookie Single Pack Playset	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-08-27T09:39:41+00:00	112-5009518-0790610	SEARS-050714-1299-CARTERS.PIGGY.BANK	B002AAT31A	B002AAT31A	Carters Smiley Happy Piggy Bank, Silver	1	LAS2	DEFECTIVE	DAMAGED_BY_FC	Unit returned to inventory
2014-08-25T23:45:53+00:00	103-6865515-7452228	KM-71214-5.39av-POKER.WCHAMP.XBOX.360	B000FDQ768	X000MMJOQ3	World Championship Poker: All In - Xbox 360 [Xbox 360]	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-08-21T17:01:02+00:00	103-9192719-1603446	L-TRU-021814-1699-FROZENELSASPARKLE	B00C6Q1Z6E	X000K6104P	Disney Frozen Sparkle Princess Elsa Doll	1	LEX2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
2014-08-20T15:30:30+00:00	102-5832808-2321010	TRU-071914-1499-FROZEN-BP&amp;LUNCHKIT	B00JV3TMWY	X000MNCQCB	Disney Frozen Princess Elsa & Anna 16" Backpack with Detachable Lunch Box Kit	1	LEX2	SELLABLE	DEFECTIVE	Unit returned to inventory
2014-08-19T14:05:00+00:00	107-3157496-4212258	L-TRU-021814-1699-FROZENELSASPARKLE	B00C6Q1Z6E	X000K6104P	Disney Frozen Sparkle Princess Elsa Doll	1	LAS2	SELLABLE	FOUND_BETTER_PRICE	Unit returned to inventory
2014-08-18T14:00:00+00:00	103-8061482-4737030	OLL-U-299-BUSYTOWN.HUCKLE.BLUE.CAR	B005HA6FF2	X000MMHJDD	Richard Scarry Busytown Huckle in Blue Car	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-08-14T08:15:00+00:00	109-5690534-3080254	KMT-071214-599-EPICMICKEYWII	B002I0GEXM	X000MJJZBF	Disney Epic Mickey - Nintendo Wii [Nintendo Wii]	1	LAS2	CARRIER_DAMAGED	DAMAGED_BY_CARRIER	Reimbursed
2014-08-06T23:29:44+00:00	109-0325552-3854608	L-TGT-060114-1698-H4H-DOLL-CONSUELO.MEX	B004880BKO	X000M9GE7D	Hearts For Hearts Girls - Consuelo from Mexico	1	LAS2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
2014-08-06T06:54:48+00:00	108-2919443-4525063	TGT-062614-499-PAWPATROL.RACER.RYDER	B00ITOB904	X000M81CHL	Nickelodeon, Paw Patrol Racers - Ryder	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
