approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2016-03-22T00:00:00+00:00	548652641			Lost_Warehouse	DS-7SVP-RDZ0	X000OZ0TLH	B00JPI1LJ2	Dreamworks Dragons How to Train Your Dragon 2 Toothless Battle Action Figure	NewItem	USD	6.75	6.75	1	0	1		
2016-03-20T00:00:00+00:00	547662431			Damaged_Warehouse	045672634092_L	X000VUSNE5	B00EMGM21I	Frozen Anna's Tiara	NewItem	USD	7.17	7.17	1	0	1		
2016-03-15T00:00:00+00:00	542899171			Damaged_Warehouse	9U-F0F4-ZBGV	B004T1UGDC	B004T1UGDC	Perler Bead Tweezer Plus	NewItem	USD	0.62	0.00	0	1	1		
2016-03-12T00:00:00+00:00	540841231			Lost_Warehouse	816733002187-C	B00DDHDDCO	B00DDHDDCO	Captain America Shield 3D Deco Light	NewItem	USD	29.50	29.50	1	0	1		
2016-03-11T00:00:00+00:00	540817821		002-5755272-8585018	CustomerReturn	039897412092-C	B008SBKLPM	B008SBKLPM	Winx Club: Soft Doll Kiko Bunny	NewItem	USD	12.27	12.27	1	0	1		
2016-03-11T00:00:00+00:00	540782461		104-5258220-3813020	CustomerReturn		B00HNCN7OE				USD	22.95	22.95	1	0	1		
2016-03-11T00:00:00+00:00	540139631			Damaged_Warehouse	I1-0JXB-6UJO	B002FW5A4C	B002FW5A4C	Martha Stewart Crafts Arts and Crafts Marker Set, 36 Pieces	NewItem	USD	10.22	0.00	0	1	1		
2016-03-09T00:00:00+00:00	537816131			Lost_Warehouse	H1-SP32-QRUR	B00EG6OHOO	B00EG6OHOO	Trash Pack UFT 12-Pack Glow Mania Exclusive	NewItem	USD	17.86	17.86	1	0	1		
2016-03-06T00:00:00+00:00	536219611			Lost_Warehouse	816733002187-C	B00DDHDDCO	B00DDHDDCO	Captain America Shield 3D Deco Light	NewItem	USD	29.50	29.50	1	0	1		
2016-03-03T00:00:00+00:00	533520911			Damaged_Warehouse	887961016796-C	B00MG36KCQ	B00MG36KCQ	Monster High Ghoul Chat Doll 2-Pack Rochelle Goyle & Catrine DeMew	NewItem	USD	20.98	20.98	1	0	1		
2016-03-02T00:00:00+00:00	532375071			Lost_Warehouse	887961100808_C	B00M4KLXDM	B00M4KLXDM	Disney Frozen UNO Card Game	NewItem	USD	1.60	1.60	1	0	1		
2016-02-29T00:00:00+00:00	531260241			Damaged_Warehouse	887961053920-C	B00M5ATJ1E	B00M5ATJ1E	Disney Princess Sparkle Princess Jasmine Doll	NewItem	USD	13.09	13.09	1	0	1		
2016-02-29T00:00:00+00:00	531260221			Damaged_Warehouse	886144913419-C/M	B00P0332MA	B00P0332MA	Doc McStuffins Dress-Up Set	NewItem	USD	9.39	0.00	0	1	1		
2016-02-23T00:00:00+00:00	524930201			Lost_Warehouse	028995331756-C	B00AVK3OHK	B00AVK3OHK	Martha Stewart Gloss Transparent Glass Paint, 2-Ounce, English Tea	NewItem	USD	2.93	2.93	1	0	1		
2016-02-19T00:00:00+00:00	523405621			Damaged_Warehouse	CF-R7TQ-54VI	B00A6TDFGQ	B00A6TDFGQ	Batman Unlimited  Batgirl Collector Action Figure	NewItem	USD	29.06	29.06	1	0	1		
2016-02-18T00:00:00+00:00	523203891		109-0184510-9565067	CustomerReturn	062243238336_C	B00KAIKKI4	B00KAIKKI4	Li'l Woodzeez Swiftysweepers Hedgehog Family Playset	NewItem	USD	10.00	10.00	1	0	1		
2016-02-17T00:00:00+00:00	521606011			Damaged_Warehouse	MU-VSSJ-VNYR	X000SI7PX5	B0078LTT8S	Disney Disney Cars Bath Mat	NewItem	USD	4.86	4.86	1	0	1		
2016-02-15T00:00:00+00:00	520385151		111-4357153-2049841	CustomerReturn	653569793298_C	B00BF6ACP6	B00BF6ACP6	Playskool Heroes, Transformers Rescue Bots Figure, Heatwave the Fire-Bot, 3.5 Inches	NewItem	USD	5.82	0.00	0	1	1		
2016-02-11T00:00:00+00:00	512560361			Damaged_Warehouse	071662612160_C	B00AHAJGYO	B00AHAJGYO	Crayola 16 Count Sidewalk Chalk	NewItem	USD	4.87	0.00	0	1	1		
2016-02-10T00:00:00+00:00	512191751		109-3012615-0224214	CustomerReturn	4X-T3SE-QSXO	B00NMUPZM8	B00NMUPZM8	Lite Brite Accessory Set, in Underwater	NewItem	USD	5.82	0.00	0	1	1		
2016-02-10T00:00:00+00:00	512025461		109-9777695-8429014	CustomerReturn	67-IDST-TKE6	B009H0EAAA	B009H0EAAA	Skylanders Giants Mega Puzzles 150 Piece Panoramic Jigsaw	NewItem	USD	6.73	6.73	1	0	1		
